Date,Close,prediction,prediction_scaled,signal,order,order_cash,holdings,Cash,portfolio_value,signal_2,order_2,holdings_2,Cash_2,portfolio_value_2
2024-02-13 05:00:00,897.694580078125,0,0,1,0,10,10,93013.58337402344,101990.52917480469,1,0,10,93299.6875,102276.63330078125
2024-02-14 05:00:00,918.6830444335938,0,0,1,0,10,10,93013.58337402344,102200.41381835938,1,0,10,93299.6875,102486.51794433594
2024-02-15 05:00:00,924.0493774414062,0,0,1,0,10,10,93013.58337402344,102254.0771484375,1,0,10,93299.6875,102540.18127441406
2024-02-16 05:00:00,923.1550903320312,0,0,1,0,10,10,93013.58337402344,102245.13427734375,1,0,10,93299.6875,102531.23840332031
2024-02-20 05:00:00,903.9057006835938,0,0,1,0,10,10,93013.58337402344,102052.64038085938,1,0,10,93299.6875,102338.74450683594
2024-02-21 05:00:00,902.5541381835938,0,0,1,0,10,10,93013.58337402344,102039.12475585938,1,0,10,93299.6875,102325.22888183594
2024-02-22 05:00:00,945.9223022460938,0,0,1,0,10,10,93013.58337402344,102472.80639648438,1,0,10,93299.6875,102758.91052246094
2024-02-23 05:00:00,927.4381713867188,0,0,1,0,10,10,93013.58337402344,102287.96508789062,1,0,10,93299.6875,102574.06921386719
2024-02-26 05:00:00,941.6889038085938,0,0,1,0,10,10,93013.58337402344,102430.47241210938,1,0,10,93299.6875,102716.57653808594
2024-02-27 05:00:00,935.5076293945312,0,0,1,0,10,10,93013.58337402344,102368.65966796875,1,0,10,93299.6875,102654.76379394531
2024-02-28 05:00:00,933.6492309570312,0,0,1,0,10,10,93013.58337402344,102350.07568359375,1,0,10,93299.6875,102636.17980957031
2024-02-29 05:00:00,945.75341796875,0,0,1,0,10,10,93013.58337402344,102471.11755371094,1,0,10,93299.6875,102757.2216796875
2024-03-01 05:00:00,984.7688598632812,0,0,1,0,10,10,93013.58337402344,102861.27197265625,1,0,10,93299.6875,103147.37609863281
2024-03-04 05:00:00,991.82470703125,0,0,1,0,10,10,93013.58337402344,102931.83044433594,1,0,10,93299.6875,103217.9345703125
2024-03-05 05:00:00,962.8065795898438,0,0,1,0,10,10,93013.58337402344,102641.64916992188,1,0,10,93299.6875,102927.75329589844
2024-03-06 05:00:00,997.677978515625,0,0,1,0,10,10,93013.58337402344,102990.36315917969,1,0,10,93299.6875,103276.46728515625
2024-03-07 05:00:00,1040.8673095703125,0,0,1,0,10,10,93013.58337402344,103422.25646972656,1,0,10,93299.6875,103708.36059570312
2024-03-08 05:00:00,988.1378784179688,0,0,1,0,10,10,93013.58337402344,102894.96215820312,1,0,10,93299.6875,103181.06628417969
2024-03-11 04:00:00,956.6749877929688,2,1,1,0,10,10,93013.58337402344,102580.33325195312,1,0,10,93299.6875,102866.43737792969
2024-03-12 04:00:00,978.1602783203125,2,1,1,0,10,10,93013.58337402344,102795.18615722656,1,0,10,93299.6875,103081.29028320312
2024-03-13 04:00:00,962.7469482421875,2,1,1,0,10,10,93013.58337402344,102641.05285644531,1,0,10,93299.6875,102927.15698242188
2024-03-14 04:00:00,953.802978515625,2,1,1,0,10,10,93013.58337402344,102551.61315917969,1,0,10,93299.6875,102837.71728515625
2024-03-15 04:00:00,934.3548583984375,1,-1,0,-1,10,0,102357.13195800781,102357.13195800781,1,0,10,93299.6875,102643.23608398438
2024-03-18 04:00:00,935.4778442382812,1,-1,0,0,10,0,102357.13195800781,102357.13195800781,1,0,10,93299.6875,102654.46594238281
2024-03-19 04:00:00,945.98193359375,1,-1,0,0,10,0,102357.13195800781,102357.13195800781,1,0,10,93299.6875,102759.5068359375
2024-03-20 04:00:00,964.87353515625,2,1,1,1,10,10,92708.39660644531,102357.13195800781,1,0,10,93299.6875,102948.4228515625
2024-03-21 04:00:00,984.6198120117188,2,1,1,0,10,10,92708.39660644531,102554.5947265625,1,0,10,93299.6875,103145.88562011719
2024-03-22 04:00:00,973.8572998046875,2,1,1,0,10,10,92708.39660644531,102446.96960449219,1,0,10,93299.6875,103038.26049804688
2024-03-25 04:00:00,972.8336791992188,2,1,1,0,10,10,92708.39660644531,102436.7333984375,1,0,10,93299.6875,103028.02429199219
2024-03-26 04:00:00,965.2511596679688,2,1,1,0,10,10,92708.39660644531,102360.908203125,1,0,10,93299.6875,102952.19909667969
2024-03-27 04:00:00,967.9443969726562,1,-1,0,-1,10,0,102387.84057617188,102387.84057617188,1,0,10,93299.6875,102979.13146972656
2024-03-28 04:00:00,964.4263305664062,2,1,1,1,10,10,92743.57727050781,102387.84057617188,1,0,10,93299.6875,102943.95080566406
2024-04-01 04:00:00,986.7664184570312,2,1,1,0,10,10,92743.57727050781,102611.24145507812,1,0,10,93299.6875,103167.35168457031
2024-04-02 04:00:00,960.6898803710938,1,-1,0,-1,10,0,102350.47607421875,102350.47607421875,1,0,10,93299.6875,102906.58630371094
2024-04-03 04:00:00,974.1654052734375,2,1,1,1,10,10,92608.82202148438,102350.47607421875,1,0,10,93299.6875,103041.34155273438
2024-04-04 04:00:00,947.4725952148438,2,1,1,0,10,10,92608.82202148438,102083.54797363281,1,0,10,93299.6875,102774.41345214844
2024-04-05 04:00:00,973.4498291015625,2,1,1,0,10,10,92608.82202148438,102343.3203125,1,0,10,93299.6875,103034.18579101562
2024-04-08 04:00:00,976.5902099609375,2,1,1,0,10,10,92608.82202148438,102374.72412109375,1,0,10,93299.6875,103065.58959960938
2024-04-09 04:00:00,983.6658325195312,2,1,1,0,10,10,92608.82202148438,102445.48034667969,1,0,10,93299.6875,103136.34582519531
2024-04-10 04:00:00,968.5405883789062,2,1,1,0,10,10,92608.82202148438,102294.22790527344,1,0,10,93299.6875,102985.09338378906
